spot_at_expiry_rn,strategy_pnl_rn,spot_at_expiry_rw,strategy_pnl_rw
746.7498112497555,290.9811249755453,707.713797659052,-1284.0
701.3394569508899,-1284.0,675.3282027084992,-1284.0
676.2269143523222,-1284.0,804.5458993830264,1616.0
696.9660090349382,-1284.0,726.8029398289634,-1284.0
752.3311195510081,849.1119551008101,731.0386217611574,-1280.13782388426
736.5828993938334,-725.7100606166628,793.0680261895387,1615.9999999999995
747.1056233762948,326.56233762948295,748.7310109878763,489.10109878762887
651.6197660437044,-1284.0,761.083358890585,1616.0
687.516484202974,-1284.0,915.8819318596597,1616.0
680.4553489647063,-1284.0,760.3575312354799,1616.0
776.7969735906912,1616.0000000000005,734.2636031817854,-957.6396818214644
792.9099921096148,1616.0000000000005,818.372896211899,1616.0
729.4716809547087,-1284.0,762.5568414757198,1616.0
676.6770163590427,-1284.0,794.0449390779452,1616.0
704.4939363762878,-1284.0,772.4584648265497,1616.0
629.3136853654172,-1284.0,763.3886731137246,1616.0
699.8267577284062,-1284.0,679.7712586447973,-1284.0
744.5814678771327,74.14678771326953,721.5464971375139,-1284.0
821.3223631766433,1616.0,756.427605793318,1258.760579331798
729.920586739109,-1284.0,726.6296620525549,-1284.0
700.4636571365695,-1284.0,777.4100536339035,1616.0
775.7041473558305,1616.0000000000005,688.3438260312225,-1284.0
710.0942904652263,-1284.0,731.0286984099348,-1281.1301590065195
724.3834786075524,-1284.0,736.2674730814206,-757.2526918579424
768.5004354699219,1616.0,776.5802766699162,1616.0
716.9017371000057,-1284.0,708.9244113109783,-1284.0
715.4329441575379,-1284.0,761.9195877397298,1616.0
761.9580817994324,1616.0,836.0099969633025,1616.0
672.0438385355893,-1284.0,731.0302901488911,-1280.970985110886
720.0297757035723,-1284.0,706.4874320531015,-1284.0
698.65565136758,-1284.0,819.322133160506,1616.0
687.3734282103086,-1284.0,743.291477111385,-54.852288861499346
729.5921848483782,-1284.0,771.0546455386639,1616.0
769.5016141239572,1616.0,769.3549152324914,1616.0
722.1927857980953,-1284.0,669.9475245034648,-1284.0
773.5070588149139,1615.9999999999995,765.0336658702506,1616.0
802.4982947860047,1616.0,772.3205303495646,1616.0000000000005
750.3131987898162,647.319878981617,767.3303739425131,1616.0
688.6336816296989,-1284.0,804.9999302733942,1616.0
747.8576053054175,401.7605305417451,770.0044747808527,1616.0
774.5828284090218,1615.9999999999995,742.6786070353448,-116.13929646551605
740.2593574982621,-358.06425017378524,750.1299749537126,628.9974953712576
730.4736007826128,-1284.0,772.9314783635746,1616.0
665.9776285135176,-1284.0,792.0916055084998,1616.0000000000005
679.901707242424,-1284.0,756.405015042542,1256.5015042542004
713.9433101220839,-1284.0,801.2913824224703,1616.0
746.077175099689,223.71750996890432,763.3563494606468,1616.0
722.9195314204258,-1284.0,791.8424849060269,1616.0000000000005
694.5730337469888,-1284.0,793.4463046340893,1616.0
783.7507663644583,1616.0,773.6671060212019,1616.0000000000005
798.9046805213774,1616.0000000000005,781.8851871625434,1616.0
681.6204442651438,-1284.0,731.4136906824748,-1242.6309317525206
773.5856904613269,1616.0000000000005,777.5785025837129,1616.0
741.7145457325122,-212.54542674878076,703.0664206026983,-1284.0
734.1479008923593,-969.2099107640697,741.4917657760998,-234.82342239002173
729.82389584524,-1284.0,765.6179714149956,1616.0
740.4693630070616,-337.0636992938412,736.4029818327609,-743.7018167239071
780.8979838656934,1615.9999999999995,753.9444583890812,1010.4458389081205
768.3253666072998,1616.0,750.9881306595737,714.8130659573699
763.1152592370298,1616.0,773.8099036323565,1616.0
736.7615101193402,-707.8489880659813,755.0208909078682,1118.0890907868193
760.1470699608889,1616.0,750.9581612183956,711.8161218395617
760.9689319553054,1616.0,841.2618733084046,1616.0
817.4158530334225,1616.0,693.9195256081057,-1284.0
