contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiry,mid,relative_spread
SPY260618C00702000,2026-05-05 17:36:55+00:00,702.0,32.74,38.72,39.09,0.0,0.0,1.0,23,0.21378349700927735,True,REGULAR,USD,call,2026-06-18,38.905,0.009510345713918636
SPY260618C00703000,2026-05-06 14:17:39+00:00,703.0,36.32,37.9,38.26,8.77,31.833035,1.0,13,0.21219659881591796,True,REGULAR,USD,call,2026-06-18,38.08,0.009453781512605028
SPY260618C00704000,2026-05-06 14:07:16+00:00,704.0,34.82,37.06,38.54,3.5299988,11.281555,11.0,27,0.22327436889648436,True,REGULAR,USD,call,2026-06-18,37.8,0.03915343915343907
SPY260618C00705000,2026-05-06 15:12:19+00:00,705.0,36.51,36.25,36.52,6.329998,20.97415,79.0,15654,0.20796995651245115,True,REGULAR,USD,call,2026-06-18,36.385000000000005,0.007420640373780489
SPY260618C00706000,2026-05-05 17:23:20+00:00,706.0,29.29,35.37,36.78,0.0,0.0,6.0,14,0.21854419158935545,True,REGULAR,USD,call,2026-06-18,36.075,0.039085239085239185
SPY260618C00707000,2026-05-05 13:53:34+00:00,707.0,27.68,34.59,34.9,0.0,0.0,1.0,88,0.2049334878540039,True,REGULAR,USD,call,2026-06-18,34.745000000000005,0.008922147071520942
SPY260618C00708000,2026-05-05 17:53:04+00:00,708.0,28.17,33.7,34.01,0.0,0.0,2.0,41,0.20244633010864255,True,REGULAR,USD,call,2026-06-18,33.855000000000004,0.009156697681287702
SPY260618C00709000,2026-05-06 14:23:15+00:00,709.0,31.59,32.95,34.39,3.7299995,13.388368,4.0,143,0.2139055661010742,True,REGULAR,USD,call,2026-06-18,33.67,0.0427680427680427
SPY260618C00710000,2026-05-06 15:13:57+00:00,710.0,32.1,32.15,32.4,5.409998,20.269756,177.0,33062,0.1992267578125,True,REGULAR,USD,call,2026-06-18,32.275,0.0077459333849728895
SPY260618C00711000,2026-05-06 14:40:06+00:00,711.0,31.15,31.25,31.57,5.67,22.252748,1.0,1768,0.19725839370727538,True,REGULAR,USD,call,2026-06-18,31.41,0.010187838268067503
SPY260618C00712000,2026-05-06 13:57:27+00:00,712.0,29.06,30.53,30.89,3.9099998,15.54672,4.0,160,0.19687692779541016,True,REGULAR,USD,call,2026-06-18,30.71,0.011722565939433391
SPY260618C00713000,2026-05-06 14:51:53+00:00,713.0,29.87,29.68,29.99,5.550001,22.820728,7.0,1333,0.19403882141113282,True,REGULAR,USD,call,2026-06-18,29.835,0.01039048097871623
